ID,Company,Title,Location,Publication Date,Link
"66","Riachuelo","Desenvolvedor Backend | Java","SÃO PAULO","Publicada em 18 de julho de 2023","https://riachuelo.gupy.io/job/eyJqb2JJZCI6NTE3MTA0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"67","Grupo Boticário","Pessoa Desenvolvedora III Backend - Marketplace - Squad Busca","Efetivo","Publicada em 17 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTE1MjM1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"68","G4 Educação","Senior Backend Software Engineer - Martech | Corporativo","São Paulo - SP","Publicada em 13 de julho de 2023","https://gestao40.gupy.io/job/eyJqb2JJZCI6NTE1NDA2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"69","3CON | IT & Digital","Arquiteto de Sistemas Backend Sênior","Rio de Janeiro","Publicada em 11 de julho de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTEzNDgyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"70","OMNI SAÚDE","Desenvolvedor(a) Sênior Backend - Python/Django","Goiânia - GO","Publicada em 11 de julho de 2023","https://omnisaude.gupy.io/job/eyJqb2JJZCI6NTE0Mzg2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"71","Gabriel","Estagiário(a) de Desenvolvimento Backend","São Paulo - SP","Publicada em 11 de julho de 2023","https://gabriel.gupy.io/job/eyJqb2JJZCI6NTE0MzM0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"72","Gabriel","Desenvolvedor(a) Backend Pleno","São Paulo - SP","Publicada em 11 de julho de 2023","https://gabriel.gupy.io/job/eyJqb2JJZCI6NTE0Mjg2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"73","GAVB","Pessoa Desenvolvedora BackEnd Java - Analista III","Efetivo","Publicada em 07 de julho de 2023","https://gavb.gupy.io/job/eyJqb2JJZCI6NTEzNDY5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"74","Sanus","Desenvolvedor Backend Senior","São Paulo - SP","Publicada em 05 de julho de 2023","https://sanus.gupy.io/job/eyJqb2JJZCI6NTExODk5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"75","Jazz Tech","Desenvolvedor Backend Senior","São Paulo - SP","Publicada em 05 de julho de 2023","https://jazztech.gupy.io/job/eyJqb2JJZCI6NTExODk4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"76","Grupo Boticário","Pessoa Desenvolvedora Backend lll Python (Venda Direta) - Vaga Afirmativa para Talentos Diversos","Efetivo","Publicada em 05 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTEwMjA1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"77","Consult Mídia Soluções","Analista Desenvolvedor Backend PHP 2","Brasília","Publicada em 05 de julho de 2023","https://consultmidia.gupy.io/job/eyJqb2JJZCI6NTExOTMzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"78","Grupo Boticário","Pessoa Desenvolvedora BackEnd Java/Kotlin Especialista II (Produtos Digitais Financeiros)","Efetivo","Publicada em 04 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTEwMDU0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"79","Híbrido","Desenvolvedor Magento BackEnd Pleno","Brusque - SC","Publicada em 04 de julho de 2023","https://hibrido.gupy.io/job/eyJqb2JJZCI6NTExODYyOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
